id,kategori,subKategori,tahap,soalan,pilihan_A,pilihan_B,pilihan_C,pilihan_D,penerangan
1,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Berdasarkan buku, apakah bunga yang telah diisytiharkan sebagai Bunga Kebangsaan pada 28 Julai 1960?","Bunga Raya","Bunga Mawar","Bunga Orkid","Bunga Matahari","Buku Pengetahuan Am PKSK menyatakan Bunga Raya diisytiharkan sebagai Bunga Kebangsaan pada 28 Julai 1960."
2,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Menurut buku, lagu kebangsaan 'NEGARAKU' telah dicipta pada tahun berapa?","1957","1963","1970","1955","Buku ini menyatakan bahawa lagu 'NEGARAKU' telah dicipta pada tahun 1957."
3,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Berapakah jalur yang terdapat pada bendera Malaysia versi tahun 1963?","14 Jalur","11 Jalur","13 Jalur","15 Jalur","Menurut rajah sejarah bendera dalam buku, bendera Malaysia pada tahun 1963 mempunyai 14 jalur."
4,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Apakah warna pada Jalur Gemilang yang menunjukkan keberanian?","Merah","Kuning","Biru Tua","Putih","Berdasarkan buku, warna merah pada bendera Malaysia menunjukkan keberanian."
5,Kenegaraan dan Identiti Nasional Malaysia,Asas Negara,MUDAH,"Apakah nama lain bagi Perlembagaan Malaysia seperti yang dinyatakan dalam buku?","Perlembagaan Persekutuan","Undang-undang Negara","Kanun Malaysia","Piagam Malaysia","Buku ini menyatakan Perlembagaan Malaysia turut dikenali sebagai Perlembagaan Persekutuan."
6,Kenegaraan dan Identiti Nasional Malaysia,Asas Negara,MUDAH,"Rukun Negara telah diisytiharkan pada 31 Ogos tahun berapa?","1970","1957","1963","1969","Menurut buku, Rukun Negara telah diisytiharkan pada 31 Ogos 1970."
7,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Apakah lambang Agama Islam sebagai agama persekutuan pada Jalur Gemilang?","Bulan dan Bintang","Warna Biru Tua","Bintang Pecah 14","Warna Kuning","Buku ini menyatakan bahawa Bulan dan Bintang pada bendera melambangkan Agama Islam sebagai agama persekutuan negara."
8,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Apakah yang dilambangkan oleh dua ekor harimau pada Jata Negara?","Simbol keberanian, kegagahan & kekuatan","Simbol 13 Negeri & Kerajaan Persekutuan","Simbol Islam sebagai agama persekutuan","Simbol kedaulatan Raja-raja Melayu","Menurut rajah Jata Negara dalam buku, dua ekor harimau adalah simbol keberanian, kegagahan dan kekuatan."
9,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Apakah yang diwakili oleh imej Pokok Pinang pada Jata Negara?","Pulau Pinang","Sabah","Sarawak","Melaka","Imej Pokok Pinang dan Jambatan Pulau Pinang pada Jata Negara mewakili negeri Pulau Pinang."
10,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Bintang pecah 14 pada Jata Negara menandakan 13 Negeri dan...?","Kerajaan Persekutuan","Wilayah Diraja","Tanah Jajahan","Daerah Khas","Buku ini menerangkan bahawa bintang pecah 14 menandakan 13 Negeri dan Kerajaan Persekutuan."
11,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Apakah warna pada Jalur Gemilang yang melambangkan kesucian, keikhlasan dan kesungguhan?","Putih","Merah","Kuning","Biru Tua","Berdasarkan buku, warna putih pada bendera menunjukkan kesucian, keikhlasan dan kesungguhan."
12,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Siapakah nama pereka Jalur Gemilang yang gambarnya terdapat dalam buku?","Mohamed Bin Hamzah","Tunku Abdul Rahman","Tun Abdul Razak","Saiful Bahari","Buku ini memaparkan gambar Mohamed Bin Hamzah (1918-1993) sebagai pereka Jalur Gemilang."
13,Kenegaraan dan Identiti Nasional Malaysia,Asas Negara,MUDAH,"Perlembagaan Malaysia juga dikenali sebagai Perlembagaan...?","Persekutuan","Diraja","Rakyat","Negara","Nota 1 dalam buku menyatakan Perlembagaan Malaysia turut dikenali sebagai Perlembagaan Persekutuan."
14,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Apakah yang dilambangkan oleh warna biru tua pada bendera Malaysia?","Perpaduan rakyat berbilang kaum","Keberanian","Kedaulatan Raja","Kesucian","Menurut buku, warna biru tua menunjukkan perpaduan rakyat berbilang kaum dalam negara."
15,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Imej Pokok Melaka pada Jata Negara mewakili negeri Melaka yang pernah menjadi sebahagian daripada...?","Negeri-negeri Selat","Negeri-negeri Melayu Bersekutu","Negeri-negeri Melayu Tidak Bersekutu","Kerajaan Borneo","Rajah Jata Negara dalam buku menyatakan imej Pokok Melaka mewakili Melaka yang pernah menjadi sebahagian negeri-negeri Selat."
16,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Bintang bersama anak bulan pada Jata Negara melambangkan...?","Islam agama persekutuan","Perpaduan 13 negeri","Kedaulatan Raja-raja","Keberanian pahlawan","Buku ini menyatakan bintang bersama anak bulan pada Jata Negara melambangkan Islam sebagai agama persekutuan di Malaysia."
17,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,MUDAH,"Bendera Persekutuan Tanah Melayu pada tahun 1957 mempunyai berapa jalur?","11 Jalur","14 Jalur","10 Jalur","12 Jalur","Rajah sejarah bendera dalam buku menunjukkan bendera Malaya 1957 mempunyai 11 jalur."
18,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Pada Jata Negara, 5 bilah keris mewakili Negeri-negeri Melayu Tidak Bersekutu. Manakah antara berikut BUKAN salah satu daripadanya?","Pahang","Johor","Kedah","Perlis","Pahang termasuk dalam Negeri-negeri Melayu Bersekutu yang dilambangkan oleh jalur warna pada perisai, bukan oleh 5 bilah keris."
19,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Warna kuning pada awan-awan di Jata Negara adalah warna diraja bagi...?","Duli-Duli Yang Maha Mulia Raja-Raja Melayu","Yang di-Pertuan Agong sahaja","Perdana Menteri","Sultan Brunei","Buku ini menyatakan warna kuning pada awan-awan adalah warna diraja bagi Duli-Duli Yang Maha Mulia Raja-Raja Melayu."
20,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Pada Jata Negara, jalur berwarna merah dan kuning pada bahagian tengah perisai mewakili negeri...?","Selangor","Pahang","Perak","Negeri Sembilan","Menurut rajah Jata Negara, jalur merah dan kuning mewakili negeri Selangor."
21,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Apakah cogan kata yang tertulis pada skrol Jata Negara?","BERSEKUTU BERTAMBAH MUTU","BERSEKUTU BERTAMBAH ILMU","MAJULAH NEGARA","BERKHIDMAT UNTUK NEGARA","Buku ini menunjukkan cogan kata 'BERSEKUTU BERTAMBAH MUTU' pada Jata Negara, walaupun terdapat kesilapan cetak 'ILMU' pada salah satu rajah."
22,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Berdasarkan buku, pertandingan mereka cipta bendera kebangsaan telah diadakan pada tarikh...?","29 November 1949","30 Mei 1952","28 Julai 1960","31 Ogos 1970","Nota 5 dalam buku menyatakan pertandingan mereka cipta bendera telah diadakan pada 29 November 1949."
23,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Jata Negara telah diperkenankan oleh Raja-raja Melayu pada...?","30 Mei 1952","29 November 1949","28 Julai 1960","31 Ogos 1957","Nota 4 dalam buku menyatakan Jata Negara diperkenankan oleh Raja-raja Melayu pada 30 Mei 1952."
24,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Pada bahagian bawah perisai Jata Negara, terdapat tiga bahagian. Apakah yang dilambangkan oleh bahagian tengah?","Bunga Raya sebagai bunga kebangsaan","Negeri Sabah","Negeri Sarawak","Pulau Pinang","Bahagian tengah di kotak bawah perisai melambangkan Bunga Raya sebagai bunga kebangsaan."
25,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Jalur berwarna hitam, putih, dan kuning pada perisai Jata Negara mewakili negeri...?","Perak","Pahang","Selangor","Negeri Sembilan","Menurut rajah Jata Negara, jalur hitam, putih, dan kuning mewakili negeri Perak."
26,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Jalur berwarna merah, hitam, dan kuning pada perisai Jata Negara mewakili negeri...?","Negeri Sembilan","Pahang","Selangor","Perak","Menurut rajah Jata Negara, jalur merah, hitam, dan kuning mewakili negeri Negeri Sembilan."
27,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Apakah yang diwakili oleh lambang negeri Sabah pada Jata Negara?","Bahagian kiri di kotak bawah perisai","Bahagian kanan di kotak bawah perisai","Imej Pokok Pinang","Imej Pokok Melaka","Bahagian kiri di kotak bawah perisai Jata Negara menandakan negeri Sabah."
28,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Warna kuning pada anak bulan dan bintang pecah 14 di bendera Malaysia melambangkan...?","Kedaulatan Raja dan Perlembagaan","Perpaduan rakyat","Keberanian","Kesucian dan keikhlasan","Buku ini menyatakan warna kuning pada anak bulan dan bintang melambangkan Kedaulatan Raja dan Perlembagaan."
29,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Apakah yang diwakili oleh lambang negeri Sarawak pada Jata Negara?","Bahagian kanan di kotak bawah perisai","Bahagian kiri di kotak bawah perisai","Imej Pokok Pinang","Imej Pokok Melaka","Bahagian kanan di kotak bawah perisai Jata Negara menandakan negeri Sarawak."
30,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Jalur berwarna hitam dan putih pada perisai Jata Negara mewakili negeri...?","Pahang","Perak","Selangor","Negeri Sembilan","Menurut rajah Jata Negara, jalur hitam dan putih mewakili negeri Pahang."
31,Kenegaraan dan Identiti Nasional Malaysia,Asas Negara,SEDERHANA,"Siapakah yang mengisytiharkan Rukun Negara pada 31 Ogos 1970?","Yang di-Pertuan Agong","Perdana Menteri","Timbalan Perdana Menteri","Majlis Raja-Raja","Walaupun tidak dinyatakan secara spesifik dalam buku, Rukun Negara diisytiharkan oleh Yang di-Pertuan Agong pada tarikh tersebut. Ini adalah inferens logik dari konteks kenegaraan."
32,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Cogan kata 'BERSEKUTU BERTAMBAH MUTU' pada Jata Negara ditulis dalam tulisan Rumi di sebelah kiri dan tulisan Jawi di sebelah...?","Kanan","Atas","Bawah","Tengah","Rajah Jata Negara menunjukkan tulisan Rumi di kiri dan Jawi di kanan."
33,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SEDERHANA,"Rekabentuk asal bendera yang dicipta oleh Mohamed Bin Hamzah mempunyai bulan sabit dan bintang dengan bucu...","5","11","14","7","Rajah dalam buku menunjukkan reka bentuk asal mempunyai bintang dengan 5 bucu sebelum dipinda."
34,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Dalam rajah Jata Negara, terdapat kesilapan cetakan pada cogan kata. Apakah kesilapan tersebut?","'BERTAMBAH ILMU' sepatutnya 'BERTAMBAH MUTU'","'BERSEKUTU' sepatutnya 'BERSATU'","Tulisan Jawi sepatutnya di kiri","Tulisan Rumi sepatutnya di kanan","Pemerhatian teliti pada rajah di muka surat 5 menunjukkan cogan kata tertulis 'BERSEKUTU BERTAMBAH ILMU' manakala cogan kata rasmi ialah 'BERSEKUTU BERTAMBAH MUTU'."
35,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Jika bendera Malaya 1957 mempunyai 11 jalur, apakah tiga negeri yang ditambah untuk menjadikan jalur bendera Malaysia 1963 kepada 14?","Sabah, Sarawak dan Singapura","Sabah, Sarawak dan Brunei","Johor, Kedah dan Kelantan","Melaka, Pulau Pinang dan Singapura","Pembentukan Malaysia pada 1963 melibatkan penyertaan Sabah, Sarawak dan Singapura, menjadikan jumlah entiti kepada 14 (11 negeri Malaya + 3 negeri baru)."
36,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Jata Negara yang dipaparkan dalam buku ini adalah versi tahun berapa?","1952","1963","1965","1948","Buku menyatakan Jata Negara diperkenankan pada 30 Mei 1952. Ini adalah versi awal Jata Negara."
37,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Berdasarkan senarai Negeri-negeri Melayu Bersekutu dan Tidak Bersekutu, gabungan warna manakah yang mewakili negeri terbanyak pada perisai Jata Negara?","Merah, Hitam, Kuning (Negeri Sembilan)","Hitam & Putih (Pahang)","Merah & Kuning (Selangor)","Hitam, Putih & Kuning (Perak)","Negeri-negeri Melayu Bersekutu (4 negeri) dan Tidak Bersekutu (5 negeri) dilambangkan secara berbeza. Soalan ini menguji pemahaman tentang perwakilan simbol tersebut."
38,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Berdasarkan maklumat Jata Negara, negeri manakah yang TIDAK diwakili oleh lambang haiwan?","Melaka","Pahang","Sabah","Sarawak","Hanya harimau yang mewakili keberanian secara umum, bukan negeri spesifik. Pokok Melaka, Pokok Pinang, dan lambang Sabah/Sarawak mewakili negeri secara langsung."
39,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Apakah perbezaan utama antara bendera Malaya 1957 dengan bendera Malaysia 1963 dari segi lambang bulan dan bintang?","Bintang pecah 14 menggantikan bintang pecah 11","Bulan sabit lebih besar","Warna kuning lebih gelap","Tiada perbezaan","Apabila Sabah, Sarawak dan Singapura menyertai Malaya, bintang diubah dari 11 bucu kepada 14 bucu untuk mewakili semua negeri."
40,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Mengapakah Pulau Pinang dan Melaka mempunyai lambang yang berbeza pada Jata Negara berbanding negeri-negeri lain di Semenanjung?","Kerana kedua-duanya adalah bekas Negeri-negeri Selat","Kerana kedua-duanya tidak mempunyai Sultan","Kerana kedua-duanya adalah pulau","Kerana kedua-duanya adalah tapak warisan dunia","Buku ini secara spesifik menyatakan lambang Pokok Pinang dan Pokok Melaka mewakili negeri-negeri yang pernah menjadi sebahagian daripada Negeri-negeri Selat."
41,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Jika cogan kata Jata Negara ditulis dalam tulisan Rumi dan Jawi, ia melambangkan kepentingan...?","Bahasa Melayu sebagai bahasa kebangsaan","Dwi-bahasa dalam pentadbiran","Pengaruh Arab dalam budaya Melayu","Sejarah tulisan di Malaysia","Penggunaan kedua-dua tulisan Rumi dan Jawi menunjukkan kedudukan Bahasa Melayu yang menggunakan kedua-dua sistem tulisan ini."
42,Kenegaraan dan Identiti Nasional Malaysia,Asas Negara,SUKAR,"Rukun Negara diisytiharkan selepas satu peristiwa hitam dalam sejarah negara. Apakah peristiwa tersebut?","Peristiwa 13 Mei 1969","Konfrontasi Indonesia-Malaysia","Darurat menentang Komunis","Pencerobohan Jepun","Walaupun tidak dinyatakan dalam buku, pengetahuan am mengaitkan pengisytiharan Rukun Negara dengan usaha menyatupadukan kaum selepas peristiwa 13 Mei 1969."
43,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Berdasarkan rajah Jata Negara, Jabatan apakah yang diusahakan untuk mereka bentuknya?","Jabatan Ukur","Jabatan Arkib Negara","Jabatan Perdana Menteri","Jabatan Penerangan","Teks kecil pada rajah Jata Negara di muka surat 5 menyatakan 'Reka bentuknya diusahakan Jabatan Ukur'."
44,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Berapa warna yang digunakan dalam reka bentuk Jata Negara menurut buku?","6 warna","5 warna","7 warna","4 warna","Teks kecil pada rajah Jata Negara di muka surat 5 menyatakan ia 'menggunakan 6 warna'."
45,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Pada Jata Negara, lambang bagi negeri manakah yang diletakkan bersebelahan dengan lambang Bunga Raya di bahagian bawah perisai?","Sabah dan Sarawak","Pulau Pinang dan Melaka","Johor dan Kedah","Perlis dan Kelantan","Rajah Jata Negara menunjukkan lambang Sabah (kiri) dan Sarawak (kanan) berada di sebelah lambang Bunga Raya (tengah) di bahagian bawah perisai."
46,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Apakah nama pereka bendera Malaysia yang lahir pada tahun 1918 dan meninggal dunia pada tahun 1993?","Mohamed Bin Hamzah","Ismail Nasiruddin Shah","Sultan Abdul Halim","Syed Putra Jamalullail","Buku ini menyediakan maklumat tahun lahir dan kematian Mohamed Bin Hamzah di bawah gambarnya."
47,Kenegaraan dan Identiti Nasional Malaysia,Asas Negara,SUKAR,"Prinsip Rukun Negara yang kelima ialah 'Kesopanan dan Kesusilaan'. Apakah matlamat utama prinsip ini?","Membentuk warganegara yang berakhlak mulia","Memastikan semua orang mematuhi undang-undang","Menjamin kesetiaan kepada Raja","Mengekalkan kedaulatan perlembagaan","Ini adalah soalan pemahaman yang memerlukan pelajar mentafsir maksud prinsip Rukun Negara."
48,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Bendera Malaysia dinamakan Jalur Gemilang. Apakah maksud 'gemilang'?","Cemerlang, terang-benderang","Berjalur-jalur","Berani dan gagah","Suci dan murni","Ini menguji perbendaharaan kata dan pemahaman makna di sebalik nama bendera."
49,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Mengapakah lambang bulan sabit digunakan pada bendera dan Jata Negara?","Mewakili Islam sebagai agama Persekutuan","Mewakili waktu malam","Sebagai simbol astrologi","Menandakan permulaan kalendar baru","Buku ini secara konsisten menyatakan bulan sabit (bersama bintang) melambangkan Islam sebagai agama Persekutuan."
50,Kenegaraan dan Identiti Nasional Malaysia,Simbol Rasmi,SUKAR,"Jika bintang pecah 14 melambangkan 13 negeri dan Kerajaan Persekutuan, apakah yang dilambangkan oleh bintang pecah 11 pada bendera Malaya 1957?","11 buah negeri Persekutuan Tanah Melayu","9 negeri Melayu dan 2 Negeri Selat","11 jajahan British","11 daerah utama di Malaya","Ini memerlukan pelajar membuat kesimpulan logik bahawa 11 jalur/bucu bintang mewakili 11 negeri asal dalam Persekutuan Tanah Melayu."
51,Struktur Pentadbiran dan Pemerintahan Malaysia,Kepimpinan Kerajaan,MUDAH,"Siapakah Perdana Menteri Malaysia yang ke-10 berdasarkan buku?","Dato' Seri Anwar Bin Ibrahim","Tun Dr. Mahathir Bin Mohamad","Tan Sri Dato' Haji Mahiaddin Bin Haji Md Yasin","Dato Sri Ismail Sabri Bin Yaakob","Buku ini memaparkan Dato' Seri Anwar Bin Ibrahim sebagai Perdana Menteri ke-10 (24 November 2022 - kini)."
52,Struktur Pentadbiran dan Pemerintahan Malaysia,Kepimpinan Kerajaan,MUDAH,"Siapakah Perdana Menteri Malaysia yang kedua?","Tun Abdul Razak Bin Hussein","Tunku Abdul Rahman Putra Al-Haj","Tun Hussein Bin Onn","Tun Dr. Mahathir Bin Mohamad","Berdasarkan senarai bergambar, Tun Abdul Razak Bin Hussein adalah Perdana Menteri yang kedua."
53,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,MUDAH,"Berapa lamakah tempoh jawatan bagi seorang Yang di-Pertuan Agong?","5 Tahun","10 Tahun","Seumur Hidup","2 Tahun","Nota di bawah senarai Yang di-Pertuan Agong menyatakan 'TEMPOH JAWATAN YDP AGONG 5 TAHUN SETIAP SESI'."
54,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,MUDAH,"Apakah gelaran bagi ketua negeri Kedah?","Sultan","Raja","Yang di-Pertuan Besar","Yang di-Pertua Negeri","Jadual Gelaran Ketua Negeri di muka surat 16 menunjukkan gelaran bagi Kedah ialah Sultan."
55,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,MUDAH,"Apakah gelaran bagi ketua negeri Negeri Sembilan?","Yang di-Pertuan Besar","Sultan","Raja","Yang di-Pertua Negeri","Jadual Gelaran Ketua Negeri di muka surat 16 menunjukkan gelaran bagi Negeri Sembilan ialah Yang di-Pertuan Besar."
56,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,MUDAH,"Manakah antara negeri berikut yang TIDAK mempunyai Raja?","Melaka","Perlis","Pahang","Johor","Berdasarkan senarai 'NEGERI TIADA RAJA' di muka surat 14, Melaka adalah salah satunya."
57,Struktur Pentadbiran dan Pemerintahan Malaysia,Pentadbiran Negeri,MUDAH,"Apakah ibu negeri bagi Johor?","Johor Bahru","Muar","Kluang","Batu Pahat","Senarai Ibu Negeri di muka surat 11 menyatakan ibu negeri Johor Darul Ta'zim ialah Johor Bahru."
58,Struktur Pentadbiran dan Pemerintahan Malaysia,Pentadbiran Negeri,MUDAH,"Apakah ibu negeri bagi Sarawak?","Kuching","Sibu","Miri","Bintulu","Senarai Ibu Negeri di muka surat 11 menyatakan ibu negeri Sarawak Bumi Kenyalang ialah Kuching."
59,Struktur Pentadbiran dan Pemerintahan Malaysia,Pentadbiran Negeri,MUDAH,"Apakah Bandar Diraja bagi negeri Perlis?","Arau","Kangar","Padang Besar","Kuala Perlis","Jadual di muka surat 18 menyatakan Bandar Diraja Perlis ialah Arau."
60,Struktur Pentadbiran dan Pemerintahan Malaysia,Pentadbiran Negeri,MUDAH,"Apakah ibu negeri bagi Kelantan?","Kota Bharu","Tumpat","Pasir Mas","Gua Musang","Senarai Ibu Negeri di muka surat 11 menyatakan ibu negeri Kelantan Darul Naim ialah Kota Bharu."
61,Struktur Pentadbiran dan Pemerintahan Malaysia,Sistem Monarki,MUDAH,"Manakah antara negeri berikut yang mempunyai Raja?","Terengganu","Pulau Pinang","Sabah","Sarawak","Berdasarkan senarai 'NEGERI ADA RAJA' di muka surat 14, Terengganu adalah salah satunya."
62,Struktur Pentadbiran dan Pemerintahan Malaysia,Kepimpinan Kerajaan,MUDAH,"Siapakah Perdana Menteri Malaysia yang keempat?","Tun Dr. Mahathir Bin Mohamad","Tun Hussein Bin Onn","Tun Abdullah Bin Haji Ahmad Badawi","Dato' Sri Mohd. Najib Bin Tun Haji Abdul Razak","Berdasarkan senarai bergambar, Tun Dr. Mahathir Bin Mohamad adalah Perdana Menteri yang keempat."
